OBJECTID,Name,Layer,Average housing prices,Distance away from CBD,Financial institution density,Retail store density,School density,Park density,Technology companies,Commercial building density,Medical institution density,Road density
31,Desheng sub district,neighborhood,110279.63,9.22,31.15,43.47,10.14,12.1,40,52.65,31.64,15.94
285,Dongba Regional Office,neighborhood,56525.88,9.61,1.4,4.27,1.68,3.7,2,4.88,4.39,7.21
292,Dongfeng Regional Office,neighborhood,73828.1,4.94,6.05,13.75,3.99,9.6,3,12.51,11.41,10.31
204,Dongfeng sub district,neighborhood,18983.43,45.58,0.31,3.25,0.56,1.2,1,1,1.19,3.66
98,Donggao Village town,neighborhood,23338.87,56.5,0.16,1.44,0.2,0.7,1,0.11,0.46,3.13
187,Donggaodi sub district,neighborhood,44581.32,13.13,6.61,19.55,5.18,11.5,1,8.91,10.35,7.56
238,Donghuashi sub district,neighborhood,94985.69,3,31.93,58,8.51,47.9,5,37.78,37.78,19.25
232,Donghuamen Subdistrict ,neighborhood,112357.87,5.37,19.4,25.74,8.02,14.9,16,31.71,22.01,17.39
110,Dongshaoqu town,neighborhood,22242.37,57.93,0.03,0.48,0.03,0.2,0,0.06,0.09,0.51
152,Dongsheng Regional Office,neighborhood,73159.88,16.74,5.4,9.32,3.19,12.3,30,10.67,4.66,11.42
242,Dongsi Subdistrict ,neighborhood,110530.32,4.27,47.85,31.66,7.04,14.1,5,40.11,40.81,18.33
201,Dongtiejiangying sub district,neighborhood,54483.44,7.26,12.28,30.05,10.02,1.9,25,43.46,46.11,11.23
330,Dongxiaokou Regional Office,neighborhood,52693.44,20.05,0.22,4.8,1.01,4.5,3,5.58,1.4,6.68
125,Dongxinfang sub district,neighborhood,32541.2,33.8,0.8,11.99,1.44,4.8,0,4.48,2.88,6.05
235,Dongzhimen sub district,neighborhood,103142.01,4.14,47.53,47.04,13.72,19.6,16,58.8,42.14,15.56
308,Dougezhuang Regional Office,neighborhood,44841.96,9.58,0.78,4.69,1.14,6.4,4,4.55,4.12,5.49
229,Doudian town,neighborhood,20288.48,43.08,0.57,2.05,0.81,1.4,5,1.1,1.87,6.25
