Average housing prices,School density,Park density,Distance away from CBD,keji,yiliao,Road density,Commercial building density,financial,government
0.803445823,0.114298521,0.983298539,0.04960111,0.005988024,0.141369644,0.679057117,0.656358473,0.145021245,0.48893335
0.122878082,0.000112057,0.002087683,0.519944502,0,0.000400481,0.030825023,0.000473335,0.000277111,0.005502063
0.936101516,0.091999104,0.352818372,0.070326049,0.245508982,0.316680016,0.472650348,0.830703692,0.287733235,0.541703139
0.331701531,0.019722098,0.077244259,0.073707943,0.017964072,0.043852623,0.208824418,0.076995898,0.012931831,0.05151932
0.510564657,0.044710892,0.200417537,0.033211932,0.017964072,0.114136964,0.302508311,0.197380877,0.055883983,0.170063774
0.009093259,0.005602869,0.025052192,0.385622615,0,0.011814177,0.101541251,0.015777848,0.002863477,0.038764537
0.079629947,0.002017033,0.014613779,0.480315643,0,0.004505406,0.085524328,0.001735563,0.001477924,0.016131049
0.226632272,0.061183326,0.240083507,0.104231703,0.005988024,0.103524229,0.219401632,0.140580625,0.061056715,0.242590972
0.578687998,0.107350964,1,0.016389178,0.011976048,0.378153785,0.572680568,0.596087094,0.294938112,0.723396274
0.789589857,0.089870013,0.27348643,0.036940687,0.095808383,0.220264317,0.516470233,0.500315557,0.179198226,0.319994998
0.065563942,0.000336172,0.004175365,0.492715921,0,0.000800961,0.006346328,0.000946671,0.000277111,0.004126547
0.448383241,0.031600179,0.256784969,0.1355359,0.173652695,0.046555867,0.336053188,0.168349637,0.049879919,0.114668001
0.739718371,0.086732407,0.440501044,0.027402012,0.035928144,0.408490188,0.544877607,0.632849479,0.441991502,0.394022759
0.294675274,0.105894218,0.039665971,0.053329865,0.131736527,0.461553865,0.330311272,0.68570527,0.11343063,0.373890209
0.267805148,0.009412819,0.081419624,0.16423864,0.017964072,0.0139167,0.192807495,0.088040391,0.002032145,0.058146805
0.097214254,0.012550426,0.100208768,0.283472078,0,0.028734481,0.17376851,0.070684759,0.007389618,0.148055521
0.584472694,0.153742716,0.306889353,0.026274714,0.089820359,0.421806167,0.461166516,0.927737457,0.439035655,0.586344879
0.210182476,0.011990139,0.177453027,0.073447797,0.017964072,0.041149379,0.156844968,0.071789208,0.007204877,0.056771289
0.036093234,0.008628418,0.029227557,0.363943809,0.02994012,0.018622347,0.179812632,0.017355633,0.005265103,0.02375891
0.253732091,0.060735096,0.411273486,0.054283732,0.005988024,0.130756908,0.280749471,0.20227201,0.02955847,0.321870702
0.390291207,0.13951143,0.258872651,0.0421436,0.071856287,0.221065278,0.456331218,0.373146103,0.261500092,0.500062523
0.324682181,0.063088301,0.081419624,0.1355359,0.05988024,0.132458951,0.419462073,0.341117072,0.047201182,0.348755783
0.031711073,0.000112057,0,0.810787374,0,0.00030036,0.013599275,0,9.23702E-05,0.001500563
0.011114358,0.000336172,0.002087683,0.443201526,0,0.00020024,0.039286794,0.000157778,9.23702E-05,0.001000375
0.737279669,0.082698342,0.160751566,0.100329518,0.215568862,0.196936324,0.357812028,0.577311455,0.1888971,0.355633363
0.287670477,0.030591663,0.098121086,0.035206382,0.443113772,0.147176612,0.408280447,0.320448091,0.059671162,0.211204202
0.196195235,0.00257732,0.037578288,0.235952133,0.041916168,0.017821386,0.093986099,0.019406753,0.003325328,0.028510692
0.045132934,0.000784402,0.002087683,0.823274367,0,0.000800961,0.005137504,0.000315557,9.23702E-05,0.004126547
0.10863842,0.03798745,0.150313152,0.276968436,0.089820359,0.09731678,0.266545784,0.136320606,0.032976168,0.113042391
0.061837027,0.000672344,0.014613779,0.895855012,0,0.001101322,0.043215473,0.006942253,0.000646592,0.007502814
0.220359836,0.015239803,0.112734864,0.206468956,0.047904192,0.050260312,0.320338471,0.137267277,0.023184925,0.122170814
0.068519865,0.035970417,0.223382046,0.520811655,0.047904192,0.221165398,0.24901783,0.182234143,0.091815999,0.271726898
0.140146205,0.022523532,0.014613779,0.172996878,0,0.037344814,0.216983983,0.059009151,0.015980048,0.088908341
0.235597558,0.050537875,0.139874739,0.085674644,0.089820359,0.092110533,0.307343608,0.16803408,0.022168853,0.146930099
0.165600519,0.089982071,0.30480167,0.245837669,0.005988024,0.177713256,0.284375944,0.172767435,0.112414558,0.396648743
0.694353644,0.173352757,0.509394572,0.070326049,0.035928144,0.207749299,0.550619523,0.63584727,0.127840384,0.751406778
0.569536753,0.103092784,0.528183716,0.090010406,0.035928144,0.330496596,0.400423089,0.663300726,0.178366895,0.492309616
0.149428874,0.007844016,0.146137787,0.236472425,0.005988024,0.02803364,0.320640677,0.052698012,0.009698873,0.075028136
0.170752548,0.020954729,0.056367432,0.155913978,0.107784431,0.061373648,0.230583258,0.311612496,0.061610937,0.041515568
0.063329129,0.058606006,0.319415449,0.515348595,0.005988024,0.209451342,0.19703838,0.202903124,0.092647331,0.385144429
0.813047226,0.228821156,0.306889353,0.126257371,0.952095808,0.332198638,0.537926866,0.68365415,0.335119158,0.536326122
0.030058892,0.002689377,0.014613779,0.503208463,0,0.003704445,0.11090964,0.002997791,0.001016072,0.008753282
0.48941764,0.131443299,0.256784969,0.055150884,0.323353293,0.253203845,0.478392264,0.876301672,0.173840754,0.384019007
0.708372691,0.100739579,0.555323591,0.05341658,0.137724551,0.274028835,0.354789967,0.667245188,0.237760946,0.552582218
0.233628593,0.028910802,0.17954071,0.09556018,0,0.05586704,0.223330311,0.108551594,0.009883614,0.143178692
0.012651843,0.001568803,0.002087683,0.37591051,0,0.002503004,0.065880931,0.002524456,0.000646592,0.008378142
0.068969723,0.001568803,0.010438413,0.466788068,0.011976048,0.006307569,0.038077969,0.001420006,0.001016072,0.018757034
0.216041811,0.006947557,0.068893528,0.095473465,0,0.015618742,0.121184648,0.037866835,0.005357473,0.06277354
0.261558441,0.010981623,0.079331942,0.189386056,0.011976048,0.023728474,0.185554548,0.046386873,0.007389618,0.026134801
0.494396387,0.159345585,0.361169102,0,0.167664671,0.635262315,0.504986401,0.864468287,0.852022908,0.592222083
0.281995676,0.01580009,0.087682672,0.134842178,0.107784431,0.045354425,0.294348746,0.106027138,0.019028265,0.071401776
0.600713502,1,0.329853862,0.092611863,0.443113772,0.301962355,0.582048957,0.620542758,0.173656013,0.426659997
0.113842434,0.000896459,0.004175365,0.558099202,0.005988024,0.002002403,0.07373829,0.004891133,0.000738962,0.005126923
0.130283453,0.005378754,0.041753653,0.431061394,0.011976048,0.020224269,0.123904503,0.020037867,0.005726954,0.031886958
0.149226037,0.012886598,0.06263048,0.19840444,0.02994012,0.021425711,0.233605319,0.030293468,0.005449843,0.03663874
0.093721607,0.000896459,0.010438413,0.657734998,0,0.000800961,0.006044122,0.002208899,0.000554221,0.004501688
0.253252827,0.045159121,0.129436326,0.198664586,0.335329341,0.147476972,0.302508311,0.142947302,0.04184371,0.12154558
0.104752775,0.003473779,0.014613779,0.293097468,0.023952096,0.006307569,0.066485343,0.004417797,0.001477924,0.021758159
0.24265719,0.05121022,0.048016701,0.173864031,0.005988024,0.162394874,0.313085524,0.137109498,0.035932016,0.232462173
0.707980068,0.09255939,0.225469729,0.021592092,0.083832335,0.269523428,0.588395286,0.634427264,0.464345095,0.599724897
0.465986901,0.065889736,0.319415449,0.000260146,0.341317365,0.660492591,0.627379873,0.931997476,0.956678367,0.385019382
0.446204537,0.030367548,0.32776618,0.058706209,0.083832335,0.073388066,0.2722877,0.155727359,0.031498245,0.077904214
0.93455578,0.135477364,0.133611691,0.043010753,0.011976048,0.312074489,0.495315805,0.612496056,0.105763902,0.61085407
0.231836961,0.037090991,0.212943633,0.216094346,0,0.140068082,0.354487761,0.240927737,0.025863662,0.255970989
0.090962896,0.000672344,0.008350731,0.668661117,0,0.001902283,0.061952251,0.001735563,0.000554221,0.00762786
1,0.082025997,0.27348643,0.066510579,0.101796407,0.238185823,0.519492294,0.870621647,1,0.655370764
0.260811602,0.00851636,0.058455115,0.109347901,0.02994012,0.018422107,0.127530976,0.047649101,0.003140587,0.030011254
0.424942674,0.102308382,0.217118998,0.013961152,0.125748503,0.414997998,0.334239952,0.563584727,0.223997783,0.386144804
0.05118753,0.000560287,0.004175365,0.546045786,0.005988024,0.000500601,0.014808099,0.00205112,0.000277111,0.006252345
0.855499614,0.130995069,0.144050104,0.039108567,0,0.178914698,0.48413418,0.629378353,0.044430076,0.823808928
0.127883684,0.000448229,0.002087683,0.474852584,0,0.000901081,0.027802962,0.001104449,0.000738962,0.003751407
0.318946844,0.063872703,0.254697286,0.056711759,0.269461078,0.150780937,0.405258386,0.629851688,0.120358396,0.311366763
0.203032602,0.014567459,0.150313152,0.107353451,0.05988024,0.06247497,0.177092777,0.093720417,0.017642712,0.052769789
0.022939623,0.000672344,0.004175365,0.697970864,0,0.001301562,0.027500756,0.000788892,0.000461851,0.006502438
0.052596216,0.000896459,0.004175365,0.587148803,0,0.002302763,0.02870958,0.001262228,0.000646592,0.007377767
0.116587867,0.001680861,0.006263048,0.264828304,0,0.003203845,0.127833182,0.006153361,0.001108443,0.01087908
0,0.001792918,0.008350731,0.638917794,0.02994012,0.003003604,0.04653974,0.005364468,0.001755034,0.015005627
0.311406598,0.014903631,0.056367432,0.162417621,0.089820359,0.065778935,0.292535509,0.113916062,0.020690929,0.061773165
0.053815417,0.000112057,0.002087683,1,0,0.00020024,0.009368389,0.000157778,9.23702E-05,0.000250094
