OBJECTID,VARNAME,VARIABLE
1,Bandwidth,39098.20733
2,ResidualSquares,71990927326
3,EffectiveNumber,27.37737436
4,Sigma,15398.26602
5,AICc,7340.937829
6,R2,0.777704767
7,R2Adjusted,0.758392752
