Average housing prices,Distance away from CBD,Financial institution density,Retail store density,School density,Park density,Technology companies
0.69924561,0.100329518,0.1888971,0.355633363,0.088159226,0.160751566,0.224358974
0.286589497,0.035206382,0.059671162,0.211204202,0.030698302,0.110647182,0.493589744
0.142208798,0.235952133,0.003325328,0.028510692,0.002923648,0.058455115,0.064102564
0.010242655,0.823274367,9.23702E-05,0.004126547,0.000899584,0.002087683,0
0.091357312,0.276968436,0.032976168,0.113042391,0.041268413,0.164926931,0.096153846
0.00599181,0.895855012,0.000646592,0.007502814,0.000674688,0.014613779,0
0.182162192,0.206468956,0.023184925,0.122170814,0.012256831,0.127348643,0.044871795
0.043853512,0.520811655,0.091815999,0.271726898,0.033509502,0.240083507,0.051282051
0.135135427,0.172996878,0.015980048,0.088908341,0.022602047,0.029227557,0
0.231836964,0.085674644,0.022168853,0.146930099,0.047453053,0.139874739,0.108974359
0.171570078,0.245837669,0.112414558,0.396648743,0.084785787,0.30480167,0
0.600041624,0.070326049,0.127840384,0.751406778,0.16023839,0.425887265,0.038461538
0.461707869,0.090010406,0.178366895,0.492309616,0.109524345,0.45302714,0.051282051
0.137916667,0.236472425,0.009698873,0.075028136,0.007871359,0.146137787,0
0.199157042,0.155913978,0.061610937,0.041515568,0.026987518,0.056367432,0.108974359
0.049501351,0.515348595,0.092647331,0.385144429,0.053975037,0.409185804,0.006410256
0.858207194,0.126257371,0.335119158,0.536326122,0.231193073,0.306889353,0.980769231
0.012726444,0.503208463,0.001016072,0.008753282,0.0028112,0.016701461,0.006410256
0.653843212,0.055150884,0.173840754,0.384019007,0.142246711,0.194154489,0.294871795
0.856324637,0.05341658,0.237760946,0.552582218,0.098841786,0.384133612,0.147435897
0.217008696,0.09556018,0.009883614,0.143178692,0.021702463,0.17954071,0
0.018352837,0.37591051,0.000646592,0.008378142,0.001574272,0.002087683,0
0.06857793,0.466788068,0.001016072,0.018757034,0.001574272,0.010438413,0.006410256
0.20658156,0.095473465,0.005357473,0.06277354,0.006971776,0.077244259,0
0.222776596,0.189386056,0.007389618,0.026134801,0.009445631,0.079331942,0.025641026
0.512557244,0,0.852022908,0.592222083,0.163724278,0.361169102,0.192307692
0.276028707,0.134842178,0.019028265,0.071401776,0.016080063,0.064718163,0.134615385
0.63184051,0.092611863,0.173656013,0.426659997,1,0.329853862,0.423076923
0.091524401,0.558099202,0.000738962,0.005126923,0.000899584,0.004175365,0.006410256
0.121387369,0.431061394,0.005726954,0.031886958,0.004835264,0.045929019,0.012820513
0.134973235,0.19840444,0.005449843,0.03663874,0.012144383,0.050104384,0.038461538
0.027026089,0.657734998,0.000554221,0.004501688,0.001012032,0.006263048,0
0.314895897,0.198664586,0.04184371,0.12154558,0.043517373,0.129436326,0.41025641
0.120287994,0.293097468,0.001477924,0.021758159,0.003260992,0.016701461,0.025641026
0.265687521,0.173864031,0.035932016,0.232462173,0.05656134,0.048016701,0.006410256
0.698070331,0.021592092,0.464345095,0.599724897,0.09693017,0.225469729,0.070512821
0.540749831,0.000260146,0.956678367,0.385019382,0.054649725,0.319415449,0.384615385
0.386436255,0.058706209,0.031498245,0.077904214,0.031485438,0.32776618,0.096153846
0.948755488,0.043010753,0.105763902,0.61085407,0.128752952,0.133611691,0.012820513
0.193089328,0.216094346,0.025863662,0.255970989,0.037220286,0.212943633,0
0.026558426,0.668661117,0.000554221,0.00762786,0.000674688,0.006263048,0
0.837553951,0.066510579,1,0.655370764,0.09411897,0.219206681,0.096153846
0.267097687,0.109347901,0.003140587,0.030011254,0.008096255,0.058455115,0.038461538
0.382798126,0.013961152,0.223997783,0.386144804,0.105588665,0.217118998,0.141025641
0.054468676,0.546045786,0.000277111,0.006252345,0.00056224,0.004175365,0.006410256
0.847100895,0.039108567,0.044430076,0.823808928,0.108287417,0.43006263,0
0.140233958,0.474852584,0.000738962,0.003751407,0.000337344,0.002087683,0.006410256
0.409555302,0.056711759,0.120358396,0.311366763,0.057236028,0.254697286,0.314102564
0.197406028,0.107353451,0.017642712,0.052769789,0.016867199,0.150313152,0.064102564
0.05628335,0.697970864,0.000461851,0.006502438,0.000674688,0.004175365,0
0.029684819,0.587148803,0.000646592,0.007377767,0.001012032,0.004175365,0
0.094643364,0.264828304,0.001108443,0.01087908,0.00168672,0.006263048,0
0.023709642,0.638917794,0.001755034,0.015005627,0.001911616,0.014613779,0.032051282
0.307537741,0.162417621,0.020690929,0.061773165,0.014505791,0.070981211,0.108974359
0.081747129,1,9.23702E-05,0.000250094,0.000112448,0.002087683,0
0.400643279,0.111515782,0.030482173,0.091284232,0.031822782,0.177453027,0.211538462
0.274265282,0.163198058,0.030020321,0.242090784,0.057460924,0.194154489,0.032051282
0.192018744,0.133628165,0.041197118,0.117794173,0.042730237,0.108559499,0.044871795
0.136840341,0.340183836,0.001477924,0.011629361,0.001911616,0.004175365,0.012820513
0.101447231,0.201179327,0.001755034,0.023133675,0.003036096,0.010438413,0.038461538
0.120230159,0.268123482,0.000646592,0.023383769,0.00112448,0.004175365,0.019230769
0.070013171,0.313562262,0.001385553,0.025009379,0.005172608,0.025052192,0.025641026
0.140707785,0.203000347,0.054221319,0.519694886,0.078151355,0.135699374,0.006410256
0.133064421,0.663371488,0.00018474,0.002375891,0.000224896,0.002087683,0
0.040465468,0.498265695,0.000738962,0.013755158,0.000899584,0.006263048,0
0.074605876,0.427072494,9.23702E-05,0.002250844,0.000674688,0,0.006410256
0.020357987,0.387183489,0.001385553,0.013755158,0.003036096,0.016701461,0.006410256
0.089447653,0.667620534,9.23702E-05,0.002125797,0,0.002087683,0
0.404132894,0.012400277,0.101422501,0.456046017,0.106375801,0.382045929,0.038461538
0.117767646,0.281304197,0.00415666,0.038264349,0.00449792,0.039665971,0.012820513
0.123380024,0.400450919,0.191391096,0.499687383,0.032834814,0.167014614,0.006410256
0.479733198,0.026795005,0.094771846,0.490809053,0.107950073,0.415448852,0.044871795
0.041354188,0.422823448,0.000646592,0.009003376,0.000787136,0.010438413,0
0.28887234,0.138744364,0.051357842,0.124796799,0.024963454,0.185803758,0.134615385
0.282658983,0.139698231,0.0840569,0.283856446,0.068255932,0.106471816,0.16025641
0.253765113,0.175598335,0.084426381,0.270476429,0.022489599,0.173277662,0.057692308
0.19956155,0.218002081,0.003510068,0.044766788,0.00506016,0.077244259,0
0.045267308,0.431234825,0.002863477,0.029010879,0.004722816,0.006263048,0.006410256
0.108173843,0.329171002,0.002586366,0.020382643,0.009108287,0.016701461,0.070512821
0.045466565,0.409382588,0.003417698,0.026885082,0.00449792,0.027139875,0.012820513
0.371375464,0.087322234,0.104101238,0.27122671,0.0672439,0.240083507,0.08974359
0.080298717,0.187998613,0.003602439,0.036138552,0.011919487,0.041753653,0.198717949
0.549175954,0.175338189,0.047293553,0.113292485,0.072191611,0.175365344,0.173076923
0.090894124,0.267169615,0.007759098,0.048518194,0.007646464,0.048016701,0.025641026
0.468351148,0.025060701,0.18926658,0.163186195,0.033172158,0.258872651,0.198717949
0.041997129,0.532258065,0.003602439,0.053019882,0.011469695,0.081419624,0
0.046376984,0.340097121,0.000369481,0.004876829,0.000224896,0.012526096,0.006410256
0.121842536,0.368626431,0.002955847,0.040515193,0.00506016,0.012526096,0.044871795
0.071620905,0.392386403,0.000554221,0.015255721,0.001574272,0.002087683,0.012820513
0.018704829,0.614290669,0.000369481,0.007877954,0.001012032,0.004175365,0
0.127689801,0.293097468,0.003602439,0.033887708,0.004947712,0.037578288,0.019230769
0.03132126,0.602497399,0.000831332,0.006752532,0.001799168,0.002087683,0
0.077306231,0.222684703,0.013393682,0.036138552,0.003260992,0.039665971,0.032051282
0.017607058,0.468955949,0.000461851,0.002500938,0.00056224,0.006263048,0
0.061173083,0.438692334,0.001016072,0.006377392,0.001911616,0.006263048,0.006410256
0.437517984,0.022545959,0.101976723,0.178566963,0.103227257,0.296450939,0.121794872
0.201546775,0.315816857,0.001293183,0.030386395,0.004385472,0.058455115,0.051282051
0.257236491,0.093479015,0.013208941,0.065524572,0.011132351,0.206680585,0.025641026
0.2015808,0.117499133,0.007389618,0.07365262,0.021814911,0.048016701,0
0.576735393,0.072320499,0.353685572,0.825184444,0.125267064,0.146137787,0.019230769
0.120586288,0.324575095,0.002771107,0.043016131,0.008546047,0.022964509,0.012820513
0.372755741,0.024973985,0.144374654,0.523571339,0.171820533,0.073068894,0.019230769
0.109841523,0.312434964,0.002216885,0.01450544,0.002923648,0.010438413,0.019230769
0.344338484,0.04760666,0.037225199,0.108915843,0.027549758,0.206680585,0.064102564
0.221954661,0.197190427,0.030112692,0.120420158,0.021027775,0.187891441,0.076923077
0.017946471,0.706382241,9.23702E-05,0.001125422,0.000337344,0.002087683,0
0.136402229,0.768730489,0,0,0.000112448,0,0
0.686452719,0.039889005,0.122760022,0.484806803,0.074777915,0.793319415,0
0.10694588,0.39117239,0.000738962,0.008753282,0.001012032,0.018789144,0.012820513
0.039815434,0.31885189,0.000831332,0.009128423,0.002698752,0.018789144,0
0.577850811,0.159989594,0.015702937,0.055395773,0.017991679,0.033402923,0.006410256
0.152375211,0.202566771,0.001477924,0.028885832,0.006072192,0.006263048,0.012820513
